Date,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
2010-09-19,NH,0.0196078431372549,0.0380952380952381,0.13253012048192772,0.02531645569620253,0.8,1.0,D,W,L,L,M,D,L,W,D,M,0,0,0,0,0,0,0,0,-1.8,0.4,-0.2,-0.2
2010-09-25,NH,0.13725490196078433,0.047619047619047616,0.04819277108433735,0.11392405063291139,1.8333333333333333,1.1666666666666667,D,W,W,W,D,W,D,L,W,L,0,0,0,0,0,0,0,0,1.6666666666666667,-0.6666666666666666,0.6666666666666666,0.6666666666666666
2010-09-25,NH,0.06862745098039216,0.01904761904761905,0.0963855421686747,0.16455696202531644,1.0,0.6666666666666666,L,D,D,W,D,L,D,W,L,L,0,0,0,0,0,0,0,0,-0.16666666666666666,-1.8333333333333333,0.3333333333333333,0.3333333333333333
2010-09-25,NH,0.0784313725490196,0.047619047619047616,0.14457831325301204,0.0759493670886076,1.1666666666666667,0.8333333333333334,L,W,D,L,W,D,D,L,L,W,0,0,0,0,0,0,0,0,-0.6666666666666666,-0.16666666666666666,0.3333333333333333,0.3333333333333333
2010-09-25,NH,0.06862745098039216,0.0380952380952381,0.07228915662650602,0.08860759493670886,1.1666666666666667,0.3333333333333333,D,W,D,D,D,L,D,L,D,L,0,0,0,0,0,0,0,0,0.16666666666666666,-0.5,0.8333333333333334,0.8333333333333334
2010-09-25,NH,0.0392156862745098,0.047619047619047616,0.08433734939759036,0.06329113924050633,0.8333333333333334,1.0,L,D,W,L,D,D,D,W,L,D,0,0,0,0,0,0,0,0,-0.5,0.0,-0.16666666666666666,-0.16666666666666666
2010-09-25,H,0.058823529411764705,0.2,0.024096385542168676,0.012658227848101266,1.3333333333333333,2.5,W,D,L,W,D,W,W,W,W,W,0,0,0,0,1,1,0,0,0.6666666666666666,3.3333333333333335,-1.1666666666666667,-1.1666666666666667
2010-09-25,H,0.029411764705882353,0.05714285714285714,0.1566265060240964,0.05063291139240506,0.16666666666666666,1.3333333333333333,D,L,L,L,L,W,D,L,W,D,0,0,1,0,0,0,0,0,-1.6666666666666667,0.3333333333333333,-1.1666666666666667,-1.1666666666666667
2010-09-26,NH,0.06862745098039216,0.13333333333333333,0.0963855421686747,0.08860759493670886,1.0,1.8333333333333333,D,L,D,W,D,W,D,W,D,W,0,0,0,0,0,0,0,0,-0.16666666666666666,1.1666666666666667,-0.8333333333333334,-0.8333333333333334
2010-09-26,NH,0.0784313725490196,0.047619047619047616,0.07228915662650602,0.10126582278481013,1.1666666666666667,0.6666666666666666,W,L,D,W,L,D,W,L,L,L,0,0,0,0,0,0,1,0,0.3333333333333333,-0.5,0.5,0.5
2010-09-26,NH,0.058823529411764705,0.05714285714285714,0.0963855421686747,0.11392405063291139,0.8333333333333334,1.1666666666666667,L,L,D,D,W,D,L,W,L,W,0,0,0,0,0,0,0,0,-0.3333333333333333,-0.5,-0.3333333333333333,-0.3333333333333333
